"Accession","Group ID"
"scer|YBR056W-A","OG7_0155920"
"scer|YBR057C","OG7_0155652"
"scer|YBR058C","OG7_0005679"
"scer|YBR058C-A","OG7_0155534"
"scer|YBR059C","OG7_0002079"
"scer|YBR060C","OG7_0007857"
"scer|YBR061C","OG7_0002819"
"scer|YBR062C","OG7_0000431"
"scer|YBR063C","OG7_0156067"
"scer|YBR065C","OG7_0007086"
"scer|YBR066C","OG7_0000135"
"scer|YBR067C","OG7_0014528"
"scer|YBR068C","OG7_0005294"
"scer|YBR069C","OG7_0005294"
"scer|YBR070C","OG7_0007583"
"scer|YBR071W","OG7_0156151"
"scer|YBR072C-A","OG7_0156245"
"scer|YBR072W","OG7_0002245"
"scer|YBR073W","OG7_0000402"
"scer|YBR074W","OG7_0005285"
"scer|YBR076W","OG7_0155779"
"scer|YBR077C","OG7_0156230"
"scer|YBR078W","OG7_0020661"
"scer|YBR079C","OG7_0007068"
"scer|YBR080C","OG7_0005344"
"scer|YBR081C","OG7_0003727"
"scer|YBR082C","OG7_0001016"
"scer|YBR083W","OG7_0003546"
"scer|YBR084C-A","OG7_0005190"
"scer|YBR084W","OG7_0002735"
"scer|YBR085C-A","OG7_0155473"
"scer|YBR085W","OG7_0003519"
"scer|YBR086C","OG7_0001359"
"scer|YBR087W","OG7_0001167"
"scer|YBR088C","OG7_0005136"
"scer|YBR089C-A","OG7_0000969"
"scer|YBR090C","OG7_0155890"
"scer|YBR091C","OG7_0008515"
"scer|YBR092C","OG7_0005430"
"scer|YBR093C","OG7_0005430"
"scer|YBR094W","OG7_0008727"
"scer|YBR095C","OG7_0028329"
"scer|YBR096W","OG7_0009040"
"scer|YBR097W","OG7_0006224"
"scer|YBR098W","OG7_0155797"
"scer|YBR101C","OG7_0004971"
"scer|YBR102C","OG7_0007470"
"scer|YBR103W","OG7_0005716"
"scer|YBR104W","OG7_0001718"
"scer|YBR105C","OG7_0009170"
"scer|YBR106W","OG7_0012576"
"scer|YBR107C","OG7_0156231"
"scer|YBR108W","OG7_0155524"
"scer|YBR109C","OG7_0000434"
"scer|YBR110W","OG7_0007281"
"scer|YBR111C","OG7_0006514"
"scer|YBR111W-A","OG7_0008817"
"scer|YBR112C","OG7_0004817"
"scer|YBR114W","OG7_0000402"
"scer|YBR115C","OG7_0000535"
"scer|YBR117C","OG7_0003500"
"scer|YBR118W","OG7_0001444"
"scer|YBR119W","OG7_0005049"
"scer|YBR120C","OG7_0025520"
"scer|YBR121C","OG7_0004176"
"scer|YBR122C","OG7_0021334"
"scer|YBR123C","OG7_0008038"
"scer|YBR125C","OG7_0000783"
"scer|YBR126C","OG7_0003699"
"scer|YBR126W-A","OG7_0155658"
"scer|YBR127C","OG7_0005088"
"scer|YBR128C","OG7_0156022"
"scer|YBR129C","OG7_0155599"
"scer|YBR130C","OG7_0155931"
"scer|YBR131W","OG7_0155963"
"scer|YBR132C","OG7_0005294"
"scer|YBR133C","OG7_0006807"
"scer|YBR135W","OG7_0005421"
"scer|YBR136W","OG7_0001934"
"scer|YBR137W","OG7_0021306"
"scer|YBR138C","OG7_0155973"
"scer|YBR139W","OG7_0001279"
"scer|YBR140C","OG7_0005066"
"scer|YBR141C","OG7_0015549"
"scer|YBR142W","OG7_0000117"
"scer|YBR143C","OG7_0005645"
"scer|YBR145W","OG7_0001101"
"scer|YBR146W","OG7_0003127"
"scer|YBR147W","OG7_0006909"
"scer|YBR148W","OG7_0155593"
"scer|YBR149W","OG7_0001209"
"scer|YBR150C","OG7_0002985"
"scer|YBR151W","OG7_0010238"
"scer|YBR152W","OG7_0156084"
"scer|YBR153W","OG7_0006067"
"scer|YBR154C","OG7_0005341"
"scer|YBR155W","OG7_0007988"
"scer|YBR156C","OG7_0008448"
"scer|YBR157C","OG7_0155642"
"scer|YBR158W","OG7_0029289"
"scer|YBR159W","OG7_0000100"
"scer|YBR160W","OG7_0000396"
"scer|YBR161W","OG7_0006663"
"scer|YBR162C","OG7_0013780"
"scer|YBR162W-A","OG7_0038125"
"scer|YBR163W","OG7_0011441"
"scer|YBR164C","OG7_0000557"
"scer|YBR165W","OG7_0155802"
"scer|YBR166C","OG7_0013168"
"scer|YBR167C","OG7_0048882"
"scer|YBR168W","OG7_0016789"
"scer|YBR169C","OG7_0000779"
"scer|YBR170C","OG7_0007128"
"scer|YBR171W","OG7_0015550"
"scer|YBR172C","OG7_0005351"
"scer|YBR173C","OG7_0007515"
"scer|YBR175W","OG7_0006315"
"scer|YBR176W","OG7_0008181"
"scer|YBR177C","OG7_0002952"
"scer|YBR179C","OG7_0017545"
"scer|YBR180W","OG7_0003055"
"scer|YBR181C","OG7_0004891"
"scer|YBR182C","OG7_0001527"
"scer|YBR182C-A","OG7_0155431"
"scer|YBR183W","OG7_0006006"
"scer|YBR184W","OG7_0156024"
"scer|YBR185C","OG7_0155719"
"scer|YBR186W","OG7_0008342"
"scer|YBR187W","OG7_0005080"
"scer|YBR188C","OG7_0155525"
"scer|YBR189W","OG7_0003589"
"scer|YBR191W","OG7_0004780"
"scer|YBR192W","OG7_0001013"
"scer|YBR193C","OG7_0025214"
"scer|YBR194W","OG7_0155546"
"scer|YBR195C","OG7_0004181"
"scer|YBR196C","OG7_0004783"
"scer|YBR196C-A","OG7_0155887"
"scer|YBR196C-B","OG7_0156034"
"scer|YBR197C","OG7_0101624"
"scer|YBR198C","OG7_0006335"
"scer|YBR199W","OG7_0007223"
"scer|YBR200W","OG7_0004284"
"scer|YBR200W-A","OG7_0155436"
"scer|YBR201C-A","OG7_0155605"
"scer|YBR201W","OG7_0003695"
"scer|YBR202W","OG7_0001163"
"scer|YBR203W","OG7_0101663"
"scer|YBR204C","OG7_0004121"
"scer|YBR205W","OG7_0007223"
"scer|YBR207W","OG7_0013042"
"scer|YBR208C","OG7_0001431"
"scer|YBR210W","OG7_0004880"
"scer|YBR211C","OG7_0156055"
"scer|YBR212W","OG7_0000011"
"scer|YBR213W","OG7_0012718"
"scer|YBR214W","OG7_0002529"
"scer|YBR215W","OG7_0036325"
"scer|YBR216C","OG7_0101610"
"scer|YBR217W","OG7_0009049"
"scer|YBR218C","OG7_0001443"
"scer|YBR219C","OG7_0005287"
"scer|YBR220C","OG7_0005287"
"scer|YBR221C","OG7_0003146"
"scer|YBR221W-A","OG7_0155914"
"scer|YBR222C","OG7_0000508"
"scer|YBR223C","OG7_0006309"
"scer|YBR225W","OG7_0155747"
"scer|YBR227C","OG7_0004131"
"scer|YBR228W","OG7_0008052"
"scer|YBR229C","OG7_0001836"
"scer|YBR230C","OG7_0156234"
"scer|YBR230W-A","OG7_0155823"
"scer|YBR231C","OG7_0008715"
"scer|YBR233W","OG7_0001644"
"scer|YBR233W-A","OG7_0022605"
"scer|YBR234C","OG7_0006264"
"scer|YBR235W","OG7_0003268"
"scer|YBR236C","OG7_0006447"
"scer|YBR237W","OG7_0000120"
"scer|YBR238C","OG7_0101659"
"scer|YBR239C","OG7_0007261"
"scer|YBR240C","OG7_0017967"
"scer|YBR241C","OG7_0000446"
"scer|YBR242W","OG7_0006399"
"scer|YBR243C","OG7_0004432"
"scer|YBR244W","OG7_0002331"
"scer|YBR245C","OG7_0000402"
"scer|YBR246W","OG7_0007677"
"scer|YBR247C","OG7_0007469"
"scer|YBR248C","OG7_0004919"
"scer|YBR249C","OG7_0009286"
"scer|YBR250W","OG7_0156253"
"scer|YBR251W","OG7_0002866"
"scer|YBR252W","OG7_0005325"
"scer|YBR253W","OG7_0156017"
"scer|YBR254C","OG7_0004832"
"scer|YBR255C-A","OG7_0155587"
"scer|YBR255W","OG7_0156065"
"scer|YBR256C","OG7_0009767"
"scer|YBR257W","OG7_0007820"
"scer|YBR258C","OG7_0155440"
"scer|YBR259W","OG7_0155636"
"scer|YBR260C","OG7_0001056"
"scer|YBR261C","OG7_0006624"
"scer|YBR262C","OG7_0156104"
"scer|YBR263W","OG7_0003031"
"scer|YBR264C","OG7_0000131"
"scer|YBR265W","OG7_0000080"
"scer|YBR267W","OG7_0006562"
"scer|YBR268W","OG7_0009759"
"scer|YBR269C","OG7_0008876"
"scer|YBR270C","OG7_0101612"
"scer|YBR271W","OG7_0001290"
"scer|YBR272C","OG7_0156164"
"scer|YBR273C","OG7_0006386"
"scer|YBR274W","OG7_0000009"
"scer|YBR275C","OG7_0156103"
"scer|YBR276C","OG7_0000772"
"scer|YBR278W","OG7_0002332"
"scer|YBR279W","OG7_0008777"
"scer|YBR280C","OG7_0000958"
"scer|YBR281C","OG7_0004687"
"scer|YBR282W","OG7_0009172"
"scer|YBR283C","OG7_0004691"
"scer|YBR284W","OG7_0156157"
"scer|YBR285W","OG7_0156242"
"scer|YBR286W","OG7_0007451"
"scer|YBR287W","OG7_0007965"
"scer|YBR288C","OG7_0155671"
"scer|YBR289W","OG7_0006729"
"scer|YBR290W","OG7_0008330"
"scer|YBR291C","OG7_0004112"
"scer|YBR293W","OG7_0002008"
"scer|YBR294W","OG7_0001293"
"scer|YBR295W","OG7_0002077"
"scer|YBR296C","OG7_0003397"
"scer|YBR296C-A","OG7_0156173"
"scer|YBR297W","OG7_0026597"
"scer|YBR298C","OG7_0012907"
"scer|YBR298C-A","OG7_0155909"
"scer|YBR299W","OG7_0002410"
"scer|YBR301W","OG7_0014528"
"scer|YBR302C","OG7_0017420"
"scer|YCL001W","OG7_0006706"
"scer|YCL001W-A","OG7_0006531"
"scer|YCL001W-B","OG7_0006531"
"scer|YCL002C","OG7_0155595"
"scer|YCL004W","OG7_0008032"
"scer|YCL005W","OG7_0156169"
"scer|YCL005W-A","OG7_0007118"
"scer|YCL008C","OG7_0005919"
"scer|YCL009C","OG7_0009003"
"scer|YCL010C","OG7_0008064"
"scer|YCL011C","OG7_0000011"
"scer|YCL012C","OG7_0018423"
"scer|YCL014W","OG7_0040963"
"scer|YCL016C","OG7_0009337"
"scer|YCL017C","OG7_0002726"
"scer|YCL018W","OG7_0002141"
